Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-04-13,47.1298019212963,,,,,,,,,,,,,,,,,,
2018-04-14,1123.25,,,,,,,,,,,,,,,,,,
2018-04-15,1123.25,,,,,,,,,,,,,,,,,,
2018-04-16,1123.25,,,,,,,,,,,,,,,,,,
2018-04-17,1123.25,,,,,,,,,,,,,,,,,,
2018-04-18,1123.25,,,,,,,,,,,,,,,,,,
2018-04-19,1123.25,,,,,,,,,,,,,,,,,,
2018-04-20,1123.2499958321914,,,,,,,,,,37.0,37.0,37.0,,,,,,
2018-04-21,1252.4625189384785,3800.487493388355,22.249513626098633,84.90416717529297,22.256166458129883,84.91010284423828,0.8305544595329083,1.7799999713897705,0.0,5488,,,,,41999485,4959230,,,
2018-04-22,1172.3075639163255,1625.1864938735962,22.249664306640625,84.8979263305664,22.256019592285156,84.90636444091797,0.6705992319928519,3.264164686203003,0.13857302069664001,1812,,,,,83481818,1641550,,,
2018-04-23,1241.2120483673198,2982.6406492888927,22.25216293334961,84.90068054199219,22.256175994873047,84.91192626953125,0.6076997298891469,2.741847038269043,0.25057053565979004,4864,,,,,81134727,4527431,,,
2018-04-24,1191.5748033681512,1344.9300053715706,22.252058029174805,84.9009017944336,22.25617218017578,84.90608215332031,0.7430163918972248,1.7989163398742676,0.2437087446451187,3327,,,,,80935686,2622336,,,
2018-04-25,1294.405440291022,5692.2318042218685,22.251453399658203,84.90092468261719,22.25617218017578,84.91243743896484,0.9101956887400413,1.7505407333374023,0.2721730172634125,9389,,,,,78216282,6569015,,,
2018-04-26,1278.771643289764,4902.008402824402,22.251453399658203,84.89883422851562,22.25617218017578,84.90611267089844,0.8766755293655845,2.7112176418304443,0.044221047312021255,7794,,,,,76068744,5968985,,,
2018-04-27,1311.6168227502355,5802.362470984459,22.25063705444336,84.89884948730469,22.25617218017578,84.91259765625,0.6389457428107967,3.0096654891967773,0.14461062848567963,9664,,,,,78316027,7229596,,,
2018-04-28,1315.2187016004725,4048.9583978056908,22.24951171875,84.90425109863281,22.256175994873047,84.91085052490234,0.7450917520226372,2.2963173389434814,0.0,7941,,,,,77855211,7367836,,,
2018-04-29,1233.7570567036664,3580.1352532804012,22.251602172851562,84.90119171142578,22.25617218017578,84.90594482421875,0.9838249490071176,4.586086750030518,0.25322186946868896,5200,,,,,82145125,4043857,,,
2018-04-30,1421.5693080545527,13577.568527758121,22.22328758239746,84.85485076904297,22.26072120666504,84.91143035888672,0.9350490442469243,11.731271743774414,0.08432276546955109,12678,,,,874910,75150934,9578190,,,
2018-05-01,1327.1570557020348,7502.476652264595,22.223129272460938,84.86670684814453,22.256195068359375,84.91195678710938,1.0083652997100079,4.238768577575684,0.0,9678,,,,,76937948,7544912,,,
2018-05-02,1282.5000689970268,6096.454808793962,22.223129272460938,84.86670684814453,22.256195068359375,84.9109115600586,0.911976849646269,3.58845591545105,0.049936506897211075,9380,,,,,80204246,5846466,,,
2018-05-03,1352.7119318383525,5524.147493034601,22.223129272460938,84.86670684814453,22.259729385375977,84.91195678710938,0.9065136828879765,9.449999809265137,0.011312933638691902,9417,,,,,74766693,8791895,,,
2018-05-04,1492.8196637719982,20238.93803706765,22.223129272460938,84.863525390625,22.256195068359375,84.91254425048828,1.4134163341684902,24.671619415283203,0.0,12422,,,,1814044,59987474,9371875,,,
2018-05-05,1123.25,,22.22382164001465,84.863525390625,22.256195068359375,84.90591430664062,,,,2059,,,,,,,,,
2018-05-06,1123.25,,22.25176429748535,84.904541015625,22.256195068359375,84.90602111816406,,,,1077,,,,,,,,,
2018-05-07,1123.25,,22.251394271850586,84.89936065673828,22.256221771240234,84.9114990234375,,,,6311,,,,,,,,,
2018-05-08,1123.2500019949637,,22.24925994873047,84.89884185791016,22.260650634765625,84.91067504882812,,,,12186,,,,,,,,,
2018-05-09,1144.5058881948078,676.6505603790283,22.2246150970459,84.85831451416016,22.260650634765625,84.9114990234375,1.0860190780261363,1.4118162393569946,0.4131709337234497,8723,,,,,15411675,815809,,,
